Titre;Artiste
Tous Les Cris Les S O S;DANIEL BALAVOINE
vivre ou survivre;DANIEL BALAVOINE
la tendresse;DANIEL GUICHARD
Mon vieux;DANIEL GUICHARD
Ils s'Aiment;DANIEL LAVOIE
l envie d aimer;DANIEL LEVI
y a que les filles qui m interesse;DANNY BRILLANT
Suzette;DANY BRILLANT
quand je voie tes yeux;DANY BRILLANT
Du côté de chez Swann;DAVE
boom;DAVID CARREIRA
Est ce que tu viens pour les vacances;DAVID ET JONATHAN
Titanium;DAVID GUETTA
Ma dernière lettre;DAVID HALLIDAY
Tu ne m'a pas laissé le temps;David Hallyday
Célimène (Karaoké);DAVID MARTIAL
Nuit de Folie;DEBUT DE SOIREE
Quand je t'aime;DEMIS ROUSSOS
voyage voyage;DESIRELESS
confession intimes;DIAM S VITAA
Jeune Demoiselle;DIAM'S
la boulette;DIAM'S
Confessions nocturne);DIAMS ET VITAA
si j etais un homme;DIANE TELL
Tu n'es plus là;DICK RIVERS
A Toutes les filles;DIDIER BARBELIVIEN
c'est beau la bourgeoisie;DISCOBICTH
Din Tei karaoké;DRAGOSTEA
Cold Heart (PNAU Remix);DUA LIPA ELTON JOHN
Thinking Out Loud;ED SHERAN
veut des légendes;EDDY MITCHEL ET JOHNNY HALLIDAY
La dernière séance;EDDY MITCHELL
Rio grande;EDDY MITCHELL
Tu peux préparer l'café noir;EDDY MITCHELL
Pas de boogie woogie;EDDY MITCHELL
sur la route de menphis;EDDY MITCHELL
Couleur menthe à leau;EDDY MITCHELL
Vieille canaille;EDDY MITCHELL ET GAINSBOURG
La foule karaoké;EDITH PIAF
L'Hymne à l'Amour;EDITH PIAF
vacances j'oublie tout;ELEGANCE
Il nous faut;ELISA TOVATI ET TOM ICE
Toi Mon Toit;ELLI MEDEIROS
Daniela;ELMER FOOD BEAT
la caissiere de chez l eclerc;ELMER FOOT BEAT
t en va pas;ELSA
Les Démons De Minuit;EMILE ET IMAGE
maitresse;EMILE ET IMAGES
Je fais de toi mon essentiel - Le Roi Soleil;EMMANUEL MOIRE
beau malheur;EMMANUEL MOIRE
je ne sais rien;EMMANUEL MOIRE
mendiant de l amour;ENRICO MASSIAS
et nadia tired;ENRIQUE IGLESIAS
Se bastasse una canzone;EROS RAMAZZOTTI
una storia importante;EROS RAMAZZOTTI
les mysterieuses cites d'or;ESTEBAN
comme un boomerang;ETIENNE DAHO
tombe pour la france;ETIENNE DAHO
Bring Me To Life;EVANECENSE
Ancré à ton port Karaoké Créole Playback;FANNY J
Parle à ma main paroles;FATAL BAZOOKA
h du mat;FATAL BAZOOKA 10
La gitane;FELIX GRAY
Félicie aussi;FERNANDEL
Ignace;FERNANDEL
Vida Minha (Portugal);FILIPA SOUSA
Le soldat;FLORENT PAGNY
Savoir aimer karaoké;FLORENT PAGNY
Bienvenue chez moi;FLORENT PAGNY
Les murs porteurs;FLORENT PAGNY
Chanter;FLORENT PAGNY
et un jour une femme;FLORENT PAGNY
Le présent d'abord;FLORENT PAGNY
ma liberte de penser;FLORENT PAGNY
Si.tu.veux.m.essayer;FLORENT PAGNY
importe quoi;FLORENT PAGNY N
Wild Ones ft. Sia;FLORIDA
Ella Elle L'a;FRANCE GALL
Débranche;FRANCE GALL
Il jouait du piano debout;FRANCE GALL
la declaration;FRANCE GALL
resiste;FRANCE GALL
La Cabane Du Pêcheur;FRANCIS CABREL
a l encre de tes yeux;FRANCIS CABREL
c'est écrit;FRANCIS CABREL
je l aime a mourrir;FRANCIS CABREL
je taime je t aimais et;FRANCIS CABREL
La corrida;FRANCIS CABREL
Petite Marie;FRANCIS CABREL
sarbacane;FRANCIS CABREL
on se retrouveras;FRANCIS LALANNE
My Way Karaoke;FRANCK SINATRA
Strangers in the night;FRANCK SINATRA
Alice ça glisse;FRANCKY VINCENT
Fruit de la passion;FRANCKY VINCENT
joue pas;FRANCOIS FELDMAN
Les.valses.de.vienne;FRANCOIS FELDMAN
rien que pour toi;FRANCOIS FELDMANN
aimons nous vivant;FRANCOIS VALERY
marie elle dance karaoke;FRANCOIS VALERY
Je t'aime à l'italienne;FREDERIC FRANCOIS
le chants des sirenes;FRERO DELAVEGA
Sweet Darling;FRERO DELAVEGA
Ca m'énerve;FRITZ
la reine des neiges - (Chinese Mandarin);FROZEN
liberee delivree;FROZEN
Help myself en Karaoké;GAETAN ROUSSEL
karaoke];GANGNAM STYLE
Seul;GAROU
Tu es comme ca;GAROU
Sous le vent;GAROU ET CELINE DION
Du Vent Des Mots;GAROU ET CHARLOTTE CARDIN
Famille;GENERATION GOLDMAN
On ira;GENERATION GOLDMAN
tal m pokora envole moi;GENERATION GOLDMAN
l auvergnat;GEORGES BRASSENS
les copains d abord;GEORGES BRASSENS
Le Meteque;GEORGES MOUSTAKY
Elle danse seule;GERALD DE PALMAS
elle habite ici;GERALD DE PALMAS
j'en rêve encore;GERALD DE PALMAS
sur la route;GERALD DE PALMAS
Du soleil dans la nuit paroles;GERARD BLANC
Une autre histoire;GERARD BLANC
la balade des gens heureux;GERARD LENORMAN
michele;GERARD LENORMAND
si jetais president karaoke;GERARD LENORMAND
L'important c'est la rose;GILBERT BECAU
On va s'aimer;GILBERT MONTAGNE
Les sunlights des tropiques;GILBERT MONTAGNE
one shots;GIMS
Zombie;GIMS
Bella karaoke;GIMS
Changer;GIMs
est ce que tu m 'aimes;GIMS
feat Vianney La même;GIMS
J'me tire;GIMS
bella ciao;GIMS
La Mano (1.9 Parisienne);GIMS
ma beaute;GIMs
ninao Lyrics;GIMS
sapes comme jamais;GIMS
un peu plus pres des etoiles;GOLD
capitaine abandonné Karaoké;GOLD
Mais je t’aime;GRAND CORP MALADE
nos plus belles années;GRAND CORP MALADE KIMBEROSE
Derrière le brouillard;GRAND CORPS MALADE LOUANE
Sandy (karaoke);GREASE
Summer Nights;GREASE
We Go Together;GREASE
Toi Moi;GREGOIRE
Ecris l histoire;GREGORY LE MARCHAL
Etienne1987;GUESH PATTI
Balada - Tcherere;GUSTAVO LIMA
Tu me manques Karaoké Créole Playback;HARRY DIBOULA
mauvais garcon;HELENA BAILY
il y a trop de gens qui t aime karaoké;HELENE SEGARA
Pour le plaisir;HERBERT LEONARD
Quand tu m’aimes (chœurs);HERBERT LEONARD
Amoureux.fous;HERBERT LEONARD ET JULIE PIETRI
reviens;HERVE VILARD
nous;HERVE VILARD
Capri cest fini;HERVE VILLARD
Méditerrannéenne;HERVE VILLARD
danser encore;HK
Ta Marinière;HOSHI
Femme à la mer;HOSHI
santiano;HUGUES AUFFRAY
Briller KPop Demon VF Resta;HUNTERS
hallelujah;I COHEN
Je danse le mia;IAM
J'ai Encore Rêvé D'elle;IL ETAIT UNE FOIS
C'est les vacances;ILONA MITRECEY
Corps à corps;IMAGE
Tourner dans le vide;INDILA
derniere danse;INDILA
La vie est belle;INDOCHINE
Station 13;INDOCHINE
Tes yeux noirs karaoké;INDOCHINE
3eme sexe;INDOCHINE
j ai demande a la lune;INDOCHINE
l'aventurier;INDOCHINE
Trois nuit par semaine;INDOCHINE
canary bay karaoke;INDOCHINE
le chant des cygnes.m;INDOCHINE
Le Géant De Papier;J JACQUE LAFONT
La Valse À Mille Temps;JACQUES BREL
amsterdam;JACQUES BREL
L'opportuniste;JACQUES DUTRONC
et moi etmoi;JACQUES DUTRONC
Impossible Karaoke;JAMES ARTHUR
Demain sera parfait;JEAN LOUIS AUBERT
Marcelle;JEAN LOUIS AUBERT
voilà c'est fini;JEAN LOUIS AUBERT
Sur la route;JEAN LOUIS AUBERT ET RAPHAEL
Femme que j'aime;JEAN LUC LAHAYE
Je te survivra;JEAN PIERRE FRANCOIS
Disparue;JEAN PIERRE MADER
Macumba Karaoké;JEAN PIERRE MADER
Confidences pour Confidences;JEAN SCHULTHEIS
CAPITAINE FLAM;Jean-Jacques Debout
en rouge et noir;JEANNE MAS
toute premiere fois;JEANNE MAS
johnny johnny;JEANNE MAS
Porque te vas;JEANNETTE
Lazzari m envoler Devocalis;JECK ET CARLA
sur un fil;JENIFER
Je danse;JENIFER
les nuits electriques;JENIFER
au soleil. karaoké;JENIFER
Evidemment;JENIFER
poupee de cire;JENIFER
Decale Gwada;JESSY MATADOR
Tout C qui Nous Sepa;JILL CAPLAN
comme toi;JJ GOLDMAN
a nos actes manques;JJ GOLDMAN
medley karaoke;JJ GOLDMAN
ensemble;JJ GOLDMAN
quand la musique est bonne;JJ GOLDMAN
un deux trois;JJ GOLDMAN
c est ta chance;JJ GOLDMAN
Lau bout de mes reves;JJ GOLDMAN
envole moi;JJ GOLDMAN
Pas toi;JJ GOLDMANN
Puisque tu pars;JJ GOLDMANN
elle a fait un bb toutes seule;JJ GOLDMANN
Je Te Donne;JJ GOLDMANN
La bas;JJ GOLDMANN
pour que tu m aime encore;JJ GOLDMANN
Tournent les violons;JJ GOLDMANN
Je.marche.seul;JJ GOLDMANN
la vie par procuration;JJ GOLDMANN
Unchain My Heart;JOE COCKER
You Are So Beautifuli;JOE COCKER
Si tu t'appelles mélancolie;JOE DASSIN
aux champs elysee;JOE DASSIN
l ete Indien karaoke;JOE DASSIN
siffler sur la colline;JOE DASSIN
ca va pas changer le monde;JOE DASSIN
L'Amérique;JOE DASSIN
salut les amoureux;JOE DASSIN
si tu n existait pas;JOE DASSIN
imagine;JOHN LENNON
Love Life;JOHNN MANAMM
Derrière l'amour;JOHNNY HALLIDAY
Johnny Hallyday medley;JOHNNY HALLIDAY
Le pénitencier;JOHNNY HALLIDAY
Requiem Pour Un Fou;JOHNNY HALLIDAY
vivre le meilleur;JOHNNY HALLIDAY
gabrielle;JOHNNY HALLIDAY
quand on na que lamour;JOHNNY HALLIDAY
Allumer le feu - Fr;JOHNNY HALLYDAY
J'en parlerai au diable;JOHNNY HALLYDAY
Marie;JOHNNY HALLYDAY
Je Te Promet karaoké;JOHNNY HALLYDAY
L'envie;JOHNNY HALLYDAY
J la croise tous les matins;JOHNNY HALLYDAY
Sang Pour Sang;JOHNNY HALLYDAY
oublierai.ton.nom;JOHNNY HALLYDAY
J'ai Oublié De Vivre;JOHNNY HALLYDAY 1977
une autre saison;JOSEF SAVAT
Pas besoin de toi;JOYCE JONATHAN
La camisa negra;JUANES
Eve lève toi;JULIE PIETRI
Maria Magdalena (avec chœurs);JULIE PIETRIE
mellissa;JULIEN CLERC
Femmes Je Vous Aime karaoké;JULIEN CLERC
laisser entre le soleil;JULIEN CLERC
ma préférence;JULIEN CLERC
partir;JULIEN CLERC
Cœur de rocker (avec chœurs);JULIEN CLERC
fais moi une place;JULIEN CLERC
Lili voulait aller danser;JULIEN CLERC
Paris Seychelles;JULIEN DORE
ft. Simone pastaga;JULIEN DORE
les limites;JULIEN DORE
moi lolita;JULIEN DORE
nous;JULIEN DORE
dernier jour du disco;JULIETTE ARMANET
ou est passer la boheme;JULIO IGLESIAS
Pauvres diables;JULIO IGLESIAS
le monde est fou le monde est beau;JULIO IGLESIAS
Je n'ai pas changé (No Vengo Ni Voy);JULIO IGLESIAS
Deshabillez moi;JULLIETTE GRECO
Femme Like U;K MARO
american boy;K WEST
pas fatigue;KALED ET MAGIC SYSTEME
Lambada;KAOMA
Tahiti Avec ❤ Création JP;Keen V
Flamme 2022 KARAOKE PASSION 51;KARAOKE JULIETTE ARMANET
kolé séré Karaoké Créole Playback;KASSAV
pa bizwen palé Karaoké Créole Playback;KASSAV
siwo Karaoké Créole Playback;KASSAV
The one that got away - Karaoke;KATY PERRY
Part Of Me;KATY PERRY
Somewhere Only We Know;KEANE
V ca va le faire;KEEN
J'aim'rais trop karaoké;KEEN V
Prince charmant;KEEN V
Petite Emilie;KEEN V
Les mots Karaoke;KEEN V
elle t'a maté!! (fatoumata);KEEN V
La Vie Du Bon Coté Keen'V feat LORELEI B;KEEN V
La vie du bon côté;KEEN V LORELEI B
ma vie au soleil;KEEN'V
gitano;KENDJI GIRAC
Andalouse;KENDJI GIRAC
Pour oublier;KENDJY GIRAC
Tiago;KENDJY GIRAC
eva;KENDJY GIRAC
aicha;KHALED
On ecrit sur les murs;KIDS UNITED
je peux dead Karaoké Créole Playback;KIM
garcon;KOXIE
Le Graal;KYO
je cours;KYO
Je saigne encore;KYO
le chemin;KYO
une dernière danse;KYO
chic planete;L AFFAIRE LOUIS TRIO
C'Est Bon pour Le Moral;LA COMPAGNIE CREOLE
Ca fait rire les oiseaux;LA COMPAGNIE CREOLE
Au bal masqué (avec chœurs);LA COMPAGNIE CREOLE
La bonne aventure;LA COMPAGNIE CREOLE
karaoke;LA MARSEILLAISE
Libérée Délivrée;LA REINE DES NEIGES
as.le.look.coco;LA ROCHE VALMONT
Tu t’en iras;LA ZARRA
petite soeur;LAAM
Bad Romance;LADY GAGA
poker face;LADY GAGA
Video Games;LANA DEL REY
tout;LARA FABIAN
la différence;LARA FABIAN
J'Y Crois Encore;LARA FABIAN
Je.t.aime;LARA FABIAN
Chocolat karaoké;LARTISTE
Catchu;LARTISTE
tu oublieras;LARUSSO
Belle Ile en Mer;LAURENT VOULZY
rockollection;LAURENT VOULZY
et Véronique Jannot - Désir désir;LAURENT VOULZY
le pouvoir des fleurs;LAURENT VOULZY
coeur grenadine;LAURENT VOULZY
Derniers baisers;LAURENT VOULZY
fille d'Avril;LAURENT VOULZY
comme un oiseau;LAURENT VOULZY ALAIN SOUCHON
La salsa du démon;LE GRAND ORCHESTRE DU SPLENDIDE
nuits sauvage;LES AVIONS
aime moi encore;LES CHARTS
on a changé Karaoké Créole Playback;LES DEESSEES
l envie d aimer;LES DIX COMMANDEMENTS
mon frere;LES DIX COMMANDEMENTS
encore un autre hiver;LES ENFOIRES
La chanson des restos;LES ENFOIRES
La chanson du bénévole (avec chœurs);LES ENFOIRES
Un jour de plus au paradis;LES ENFOIRES
tape des mains;LES FORBANS
Colore;LES INNOCENTS
Un homme extraordinaire;LES INNOCENTS
L'autre Finistère;LES INNOCENTS
andy;LES RITA MITSOUKO
le temp des yéyés;LES VAGABONDS
la vie ne mapprend rien;LIANE FOLY
Fuck you;LILLY ALLEN
ETOILE DES NEIGES;Line Renaud
J avoue Karaoke;LINH
Fallait pas commencer;LIO
banana split;LIO
les brunes comptent pas pour les brunes;LIO
Hello;LIONEL RICHIE
say You Say Me;LIONEL RICHIE
Trop Beau;LOMEPAL
on était beau;LOUANE
Avenir radio edit;LOUANE
jour 1;LOUANE
Je vole;LOUANE
Maman;LOUANE
Ces idées là;LOUIS BERTIGNAC
Ainsi soit-il;LOUIS CHEDID
notre amour eternel;LOUISE ATTAQUE
ton invitation;LOUISE ATTAQUE
Assis par terre;LOUISY JOSEPH
danza kudoro;LUCENZO
la belle de cadix;LUIS MARIANO
Mexico (Karaoké);LUIS MARIANO
tes etats dame eric;LUNA PARKER
Piensa en mi;LUZ CASAL
le monde;M POKORA
Merci d'être;M POKORA
Pas sans toi;M POKORA
A nos actes manqués;M POKORA
Cette année là;M POKORA
juste une photo de toi;M POKORA
On es là;M POKORA
Juste un instant karaoké;M POKORA
tombe;M POKORA
mieux que nous;M POKORA SOPRANO
Bouger bouger;MAGIC SYSTEME
zouglou dance;MAGIC SYSTEME
la tribu de dana;MANAU
Même si;MAR LAVOINE
Je me sens si seul;MARC LAVOINE
Je ne veux qu elle;MARC LAVOINE
Bascule Avec Moi;MARC LAVOINE
Pour Une Biguine Avec Toi (avec chœurs);MARC LAVOINE
chere amie;MARC LAVOINE
et Catherine Ringer Qu'est ce que t'es belle;MARC LAVOINE
les yeux revolver;MARC LAVOINE
parking des anges;MARC LAVOINE
Je descends du singe karaoké;MARC LAVOINE
j ai tout oublie 2008;MARC LAVOINE ET MARROCCO
Tu veux ou tu veux pas;MARCEL ZANINI
lunatique;MARGAUX AVRIL
L'oiseau et l'enfant Karaoké;MARIE MYRIAM
j'ai le coeur maladroit;MARINE
Jean Petit qui danse;MARTIAL
Superchérie;MATHIEU CHEDID
Positif (Karaoke - Parole);MATT HOUSTON
Sur un prélude de Bach;MAURANE
toutes les mamas;MAURANE
tout pour un seul homme;MAURANE
Né quelque part;MAXIME LE FORESTIER
san francisco;MAXIME LE FORESTIER
Caroline karaoké;MC SOLAAR
bouge de la;MC SOLAR
hijo de la luna;MECANO
une femme avec une femme;MECANO
et Cabaru - A Jamais Karaoke Creole Playback;MEDHY CUSTO
Bye bye;MENELIK
le paradis blanc;MICHEL BERGER
mademoiselle chang;MICHEL BERGER
quelques mots damour;MICHEL BERGER
resiste;MICHEL BERGER
la groupie du pianiste;MICHEL BERGER
celui qui chante;MICHEL BERGER
diego;MICHEL BERGER
il jouait du piano;MICHEL BERGER
viens je t emmene Karaoké;MICHEL BERGER
Le Loir et Cher;MICHEL DELPECH
Pour Un Flirt;MICHEL DELPECH
Quand J'étais Chanteur;MICHEL DELPECH
Le chasseur;MICHEL DELPECH
fais comme l oiseau;MICHEL FUGAIN
chante;MICHEL FUGAIN
une belle histoire;MICHEL FUGAIN
Joueurs de blues;MICHEL JONASZ
La boîte de jazz;MICHEL JONASZ
Goodbye Marylou;MICHEL POLNAREFF
kama sutra;MICHEL POLNAREFF
la poupee qui fait non;MICHEL POLNAREFF
Chanteur de jazz;MICHEL SARDOU
Je vais t'aimer live 2011;MICHEL SARDOU
Je viens du sud;MICHEL SARDOU
les vieux mariee;MICHEL SARDOU
Afrique Adieu;MICHEL SARDOU
Être une femme;MICHEL SARDOU
La java de brodway;MICHEL SARDOU
les bals populaires;MICHEL SARDOU
Les lacs du connemara;MICHEL SARDOU
Les Ricains;MICHEL SARDOU
je naurai pas le temps ugain;MICHEL SARDOU
La maladie d'amour;MICHEL SARDOU
Ai Se Eu Te Pego (Nova Versão);MICHEL TELO
Billie Jean;MICKAEL JACKSON
Thriller;MICKAEL JACKSON
l'horloge tourne karaoké;MICKAEL MIRO
Elle me dit;MIKA
Boum Boum Boum;MIKA
Qui saura;MIKE BRANT
Laisse moi t'aimer;MIKE BRANT
Rien qu'une larme;MIKE BRANT
est comme ça que je t'aime (1974);MIKE BRANT
Mille colombes karaoké;MIREILLE MATHIEU
Au nom de la rose;MOOS
Tatoue moi Karaoké;MOZART L OPERA
Lassasymphonie;MOZART L OPERA ROCK
Tropique;MURIEL DACQ
One night in Bangkok;MURRAY HEAD
Désenchantée;MYLENE FARMER
Tristana;MYLENE FARMER
ainsi sois je;MYLENE FARMER
Sans contrefaçon;MYLENE FARMER
comme un roc karaoke;NADIA
parle moi;NADYA
tu trouveras;NATACHA ST PIER ET OBISPO
Beijo Na Boca CLIP;NETINHO
Beijo na boca (Karaokê);NETINHO
Milla (Karaokê);NETINHO
L'amour À La Plage;NIAGARA
les champs brules;NIAGARA
tchiki boum;NIAGARA
J'ai vu;NIGARA
L'amore É Femmina (Out Of Love) (Italy);NINA ZILLI
le sud;NINO FERRER
mirza karaoké;NINO FERRER
La Voie Des Sages;NOAH
Mon Eldorado;NOAH
On court;NOAH
Aux Arbres Citoyens;NOAH
Donne moi une vie;NOAH
Aux sombres héros de l'amer karaoké;NOIR DESIR
Le vent nous portera karaoké;NOIR DESIR
Juste pour me souvenir;NOLWEEN LEROY
Casse;NOLWEN LEROY
sixieme continent;NOLWENN LE ROY
mon ange;NOLWENN LEROY
Le temps des cathédrales karaoké;NOTRE DAME DE PARIS
belle karaoké;NOTRE DAME DE PARIS
Laisse pas trainer ton fils;NTM
La Femme Chocolat (Karaoké);OLIVIA RUIZ
j traine des pieds;OLIVIA RUIZ
Dieu m'a donné la foi karaoké;OPHELIE WINTER
Tout va bien;ORELSAN
Basique;ORELSAN
T'es OK;OTTAWAN
des ricochets;PARIS AFRICA
PARTENAIRE PARTICULIER;PARTENAIRE PARTICULIER
Les neiges du Kilimandjaro 3;Pascal DANEL
Assassine karaoké;PASCAL OBISPO
Fan - Instrumentale Karaoke;PASCAL OBISPO
Lucie (Karaoké);PASCAL OBISPO
Millésime Karaoké;PASCAL OBISPO
mourir demain;PASCAL OBISPO
ou et avec qui tu m aime;PASCAL OBISPO
tombe pour elle;PASCAL OBISPO
sa raison d etre;PASCAL OBISPO
D'Allemagne;Patricia Kaas
Mlle chante le blues;PATRICIA KAAS
mon mec a moi patricia kaas;PATRICIA KAAS
elle me dit que je suis belle;PATRICIA KASS
Elle voulait jouer cabaret;PATRICIA KASS
Alors regarde karaoké;PATRICK BRUEL
J'te l'dis quand même;PATRICK BRUEL
Place des grands hommes karaoké;PATRICK BRUEL
aux cafes des delices;PATRICK BRUEL
marre de cette nana la;PATRICK BRUEL
Qui a le droit;PATRICK BRUEL
mon amant de st jean;PATRICK BRUEL
Que tu reviennes karaoké;PATRICK FIORI
Sans bruit karaoké;PATRICK FIORI
4 mots sur un piano;PATRICK FIORI ET JJ GOLDMAN
Ou sont les femmes;PATRICK JUVET
Tourner les serviettes;PATRICK SEBASTIEN
Les Sardines;PATRICK SEBASTIEN
liberta;PEP S
Sweet time Karaoké Créole Playback;PERLE AMA
